region_code, weather_param, year, key, value
UK,Sunshine,1973,March,124.8
UK,Sunshine,1973,April,145.8
UK,Sunshine,1973,May,155.8
UK,Sunshine,1973,June,190.4
UK,Sunshine,1973,July,145.8
UK,Sunshine,1973,August,164.0
UK,Sunshine,1973,September,126.3
UK,Sunshine,1973,October,88.3
UK,Sunshine,1973,November,67.5
UK,Sunshine,1973,December,41.1
UK,Sunshine,1974,Jan,40.0
UK,Sunshine,1974,Feb,55.3
UK,Sunshine,1974,March,98.7
UK,Sunshine,1974,April,166.4
UK,Sunshine,1974,May,179.6
UK,Sunshine,1974,June,189.0
UK,Sunshine,1974,July,149.9
UK,Sunshine,1974,August,163.5
UK,Sunshine,1974,September,121.1
UK,Sunshine,1974,October,78.9
UK,Sunshine,1974,November,50.1
UK,Sunshine,1974,December,36.6
UK,Sunshine,1975,Jan,34.1
UK,Sunshine,1975,Feb,70.2
UK,Sunshine,1975,March,96.8
UK,Sunshine,1975,April,122.3
UK,Sunshine,1975,May,205.5
UK,Sunshine,1975,June,245.2
UK,Sunshine,1975,July,179.6
UK,Sunshine,1975,August,195.9
UK,Sunshine,1975,September,125.1
UK,Sunshine,1975,October,95.2
UK,Sunshine,1975,November,63.0
UK,Sunshine,1975,December,35.2
UK,Sunshine,1976,Jan,40.9
UK,Sunshine,1976,Feb,47.8
UK,Sunshine,1976,March,98.8
UK,Sunshine,1976,April,143.1
UK,Sunshine,1976,May,150.5
UK,Sunshine,1976,June,205.5
UK,Sunshine,1976,July,222.7
UK,Sunshine,1976,August,240.4
UK,Sunshine,1976,September,94.5
UK,Sunshine,1976,October,64.8
UK,Sunshine,1976,November,60.3
UK,Sunshine,1976,December,45.1
UK,Sunshine,1977,Jan,43.9
UK,Sunshine,1977,Feb,61.3
UK,Sunshine,1977,March,80.9
UK,Sunshine,1977,April,148.9
UK,Sunshine,1977,May,216.0
UK,Sunshine,1977,June,165.1
UK,Sunshine,1977,July,184.0
UK,Sunshine,1977,August,157.5
UK,Sunshine,1977,September,103.0
UK,Sunshine,1977,October,88.6
UK,Sunshine,1977,November,69.0
UK,Sunshine,1977,December,33.6
UK,Sunshine,1978,Jan,45.5
UK,Sunshine,1978,Feb,56.7
UK,Sunshine,1978,March,103.4
UK,Sunshine,1978,April,111.3
UK,Sunshine,1978,May,192.1
UK,Sunshine,1978,June,159.2
UK,Sunshine,1978,July,134.9
UK,Sunshine,1978,August,122.4
UK,Sunshine,1978,September,119.3
UK,Sunshine,1978,October,80.3
UK,Sunshine,1978,November,58.0
UK,Sunshine,1978,December,28.1
UK,Sunshine,1979,Jan,50.0
UK,Sunshine,1979,Feb,64.8
UK,Sunshine,1979,March,89.5
UK,Sunshine,1979,April,119.1
UK,Sunshine,1979,May,168.8
UK,Sunshine,1979,June,161.6
UK,Sunshine,1979,July,149.3
UK,Sunshine,1979,August,144.0
UK,Sunshine,1979,September,141.3
UK,Sunshine,1979,October,88.5
UK,Sunshine,1979,November,55.5
UK,Sunshine,1979,December,41.6
UK,Sunshine,1980,Jan,48.4
UK,Sunshine,1980,Feb,43.1
UK,Sunshine,1980,March,80.7
UK,Sunshine,1980,April,161.5
UK,Sunshine,1980,May,222.0
UK,Sunshine,1980,June,140.7
UK,Sunshine,1980,July,129.7
UK,Sunshine,1980,August,125.5
UK,Sunshine,1980,September,111.5
UK,Sunshine,1980,October,93.2
UK,Sunshine,1980,November,50.6
UK,Sunshine,1980,December,39.0
UK,Sunshine,1981,Jan,40.0
UK,Sunshine,1981,Feb,66.2
UK,Sunshine,1981,March,72.7
UK,Sunshine,1981,April,148.5
UK,Sunshine,1981,May,143.7
UK,Sunshine,1981,June,142.7
UK,Sunshine,1981,July,135.7
UK,Sunshine,1981,August,166.9
UK,Sunshine,1981,September,130.7
UK,Sunshine,1981,October,100.9
UK,Sunshine,1981,November,45.3
UK,Sunshine,1981,December,36.3
UK,Sunshine,1982,Jan,44.0
UK,Sunshine,1982,Feb,53.5
UK,Sunshine,1982,March,131.6
UK,Sunshine,1982,April,159.5
UK,Sunshine,1982,May,205.2
UK,Sunshine,1982,June,148.6
UK,Sunshine,1982,July,170.6
UK,Sunshine,1982,August,144.1
UK,Sunshine,1982,September,121.0
UK,Sunshine,1982,October,64.2
UK,Sunshine,1982,November,48.9
UK,Sunshine,1982,December,35.1
UK,Sunshine,1983,Jan,38.6
UK,Sunshine,1983,Feb,69.6
UK,Sunshine,1983,March,71.6
UK,Sunshine,1983,April,133.5
UK,Sunshine,1983,May,115.4
UK,Sunshine,1983,June,158.1
UK,Sunshine,1983,July,209.6
UK,Sunshine,1983,August,189.4
UK,Sunshine,1983,September,95.3
UK,Sunshine,1983,October,91.6
UK,Sunshine,1983,November,40.9
UK,Sunshine,1983,December,38.5
UK,Sunshine,1984,Jan,51.7
UK,Sunshine,1984,Feb,53.3
UK,Sunshine,1984,March,60.4
UK,Sunshine,1984,April,200.3
UK,Sunshine,1984,May,180.9
UK,Sunshine,1984,June,180.2
UK,Sunshine,1984,July,212.0
UK,Sunshine,1984,August,179.5
UK,Sunshine,1984,September,97.1
UK,Sunshine,1984,October,86.8
UK,Sunshine,1984,November,42.8
UK,Sunshine,1984,December,42.1
UK,Sunshine,1985,Jan,45.4
UK,Sunshine,1985,Feb,75.9
UK,Sunshine,1985,March,102.5
UK,Sunshine,1985,April,121.2
UK,Sunshine,1985,May,159.1
UK,Sunshine,1985,June,162.4
UK,Sunshine,1985,July,155.8
UK,Sunshine,1985,August,138.6
UK,Sunshine,1985,September,109.0
UK,Sunshine,1985,October,94.2
UK,Sunshine,1985,November,65.2
UK,Sunshine,1985,December,30.7
UK,Sunshine,1986,Jan,45.4
UK,Sunshine,1986,Feb,73.4
UK,Sunshine,1986,March,112.1
